orderId,mainOrderId,poNumber,groupTotalValueUSD,groupPOCount
RFPO-1005-V7136,1005,RFPO-1005-V7136-1,18051.74,2
RFPO-1005-V7136,1005,RFPO-1005-V7136-2,18051.74,2
RFPO-5193-E6801,5193,RFPO-5193-E6801-1,38163.3,5
RFPO-5193-E6801,5193,RFPO-5193-E6801-2,38163.3,5
RFPO-5193-E6801,5193,RFPO-5193-E6801-3,38163.3,5
RFPO-5193-E6801,5193,RFPO-5193-E6801-4,38163.3,5
RFPO-5193-E6801,5193,RFPO-5193-E6801-5,38163.3,5
RFPO-1569-O51,1569,RFPO-1569-O51-1,4642.07,2
RFPO-1569-O51,1569,RFPO-1569-O51-2,4642.07,2
RFPO-1005-E7073,1005,RFPO-1005-E7073-1,17059.23,2
RFPO-1005-E7073,1005,RFPO-1005-E7073-2,17059.23,2
RFPO-5193-A5204,5193,RFPO-5193-A5204-1,94940.79,3
RFPO-5193-A5204,5193,RFPO-5193-A5204-2,94940.79,3
RFPO-5193-A5204,5193,RFPO-5193-A5204-3,94940.79,3
RFPO-5503-M4101,5503,RFPO-5503-M4101-1,124304.34,2
RFPO-5503-M4101,5503,RFPO-5503-M4101-2,124304.34,2
RFPO-1428-V4355,1428,RFPO-1428-V4355-1,1307.01,2
RFPO-1428-V4355,1428,RFPO-1428-V4355-2,1307.01,2
RFPO-4814-M4105,4814,RFPO-4814-M4105-1,628278.82,5
RFPO-4814-M4105,4814,RFPO-4814-M4105-2,628278.82,5
RFPO-4814-M4105,4814,RFPO-4814-M4105-3,628278.82,5
RFPO-4814-M4105,4814,RFPO-4814-M4105-4,628278.82,5
RFPO-4814-M4105,4814,RFPO-4814-M4105-5,628278.82,5
RFPO-5829-M4102,5829,RFPO-5829-M4102-1,699795.78,2
RFPO-5829-M4102,5829,RFPO-5829-M4102-2,699795.78,2
RFPO-1005-V7107,1005,RFPO-1005-V7107-1,13502.4,2
RFPO-1005-V7107,1005,RFPO-1005-V7107-2,13502.4,2
RFPO-1005-M7075,1005,RFPO-1005-M7075-1,632.22,2
RFPO-1005-M7075,1005,RFPO-1005-M7075-2,632.22,2
RFPO-1005-V7085,1005,RFPO-1005-V7085-1,1142.87,2
RFPO-1005-V7085,1005,RFPO-1005-V7085-2,1142.87,2
RFPO-1005-V7078,1005,RFPO-1005-V7078-1,9156.77,2
RFPO-1005-V7078,1005,RFPO-1005-V7078-2,9156.77,2
RFPO-1005-V7072,1005,RFPO-1005-V7072-1,22982.25,2
RFPO-1005-V7072,1005,RFPO-1005-V7072-2,22982.25,2
RFPO-4814-V40004,4814,RFPO-4814-V40004-1,871.34,2
RFPO-4814-V40004,4814,RFPO-4814-V40004-2,871.34,2
RFPO-1005-M7064,1005,RFPO-1005-M7064-1,17539.2,2
RFPO-1005-M7064,1005,RFPO-1005-M7064-2,17539.2,2
RFPO-1005-V7053,1005,RFPO-1005-V7053-1,13967.01,2
RFPO-1005-V7053,1005,RFPO-1005-V7053-2,13967.01,2
PO-1005-V7049,1005,PO-1005-V7049-1,2878.4,2
PO-1005-V7049,1005,PO-1005-V7049-2,2878.4,2
RFPO-1005-V7048,1005,RFPO-1005-V7048-1,25141.34,2
RFPO-1005-V7048,1005,RFPO-1005-V7048-2,25141.34,2
RFPO-1569-O39,1569,RFPO-1569-O39-1,2918.99,3
RFPO-1569-O39,1569,RFPO-1569-O39-2,2918.99,3
RFPO-1569-O39,1569,RFPO-1569-O39-3,2918.99,3
RFPO-5193-A5201,5193,RFPO-5193-A5201-1,69612.0,2
RFPO-5193-A5201,5193,RFPO-5193-A5201-2,69612.0,2
RFPO-4814-E6800,4814,RFPO-4814-E6800-1,171306.31,2
RFPO-4814-E6800,4814,RFPO-4814-E6800-2,171306.31,2
RFPO-1569-S9074,1569,RFPO-1569-S9074-1,23907.42,3
RFPO-1569-S9074,1569,RFPO-1569-S9074-2,23907.42,3
RFPO-1569-S9074,1569,RFPO-1569-S9074-3,23907.42,3
RFPO-5503-O1,5503,RFPO-5503-O1-1,5001.06,2
RFPO-5503-O1,5503,RFPO-5503-O1-2,5001.06,2
RFPO-5213-S9082,5213,RFPO-5213-S9082-1,592173.33,2
RFPO-5213-S9082,5213,RFPO-5213-S9082-2,592173.33,2
RFPO-3742-V4261,3742,RFPO-3742-V4261-1,8059.81,4
RFPO-3742-V4261,3742,RFPO-3742-V4261-2,8059.81,4
RFPO-3742-V4261,3742,RFPO-3742-V4261-3,8059.81,4
RFPO-3742-V4261,3742,RFPO-3742-V4261-4,8059.81,4
RFPO-3742-V4255,3742,RFPO-3742-V4255-1,1553786.56,3
RFPO-3742-V4255,3742,RFPO-3742-V4255-2,1553786.56,3
RFPO-3742-V4255,3742,RFPO-3742-V4255-3,1553786.56,3
RFPO-3734-V4257A,3734,RFPO-3734-V4257A-1,292101.36,3
RFPO-3734-V4257A,3734,RFPO-3734-V4257A-2,292101.36,3
RFPO-3734-V4257A,3734,RFPO-3734-V4257A-3,292101.36,3
RFPO-3734-V4353,3734,RFPO-3734-V4353-1,18186.81,2
